Domain,Item,Year,Value,ValueK
Emissions intensities,"Meat of sheep, fresh or chilled",1961,146483.3095,146.48
Emissions intensities,"Meat of sheep, fresh or chilled",1962,147137.2194,147.14
Emissions intensities,"Meat of sheep, fresh or chilled",1963,147518.8141,147.52
Emissions intensities,"Meat of sheep, fresh or chilled",1964,151049.1706,151.05
Emissions intensities,"Meat of sheep, fresh or chilled",1965,155477.4625,155.48
Emissions intensities,"Meat of sheep, fresh or chilled",1966,153309.1844,153.31
Emissions intensities,"Meat of sheep, fresh or chilled",1967,155721.3151,155.72
Emissions intensities,"Meat of sheep, fresh or chilled",1968,156745.345,156.75
Emissions intensities,"Meat of sheep, fresh or chilled",1969,158350.383,158.35
Emissions intensities,"Meat of sheep, fresh or chilled",1970,157834.884,157.83
Emissions intensities,"Meat of sheep, fresh or chilled",1971,156789.3898,156.79
Emissions intensities,"Meat of sheep, fresh or chilled",1972,151754.6265,151.75
Emissions intensities,"Meat of sheep, fresh or chilled",1973,142923.6883,142.92
Emissions intensities,"Meat of sheep, fresh or chilled",1974,144174.2253,144.17
Emissions intensities,"Meat of sheep, fresh or chilled",1975,146702.968,146.7
Emissions intensities,"Meat of sheep, fresh or chilled",1976,146154.0997,146.15
Emissions intensities,"Meat of sheep, fresh or chilled",1977,139854.4983,139.85
Emissions intensities,"Meat of sheep, fresh or chilled",1978,140251.3108,140.25
Emissions intensities,"Meat of sheep, fresh or chilled",1979,143133.0955,143.13
Emissions intensities,"Meat of sheep, fresh or chilled",1980,146681.256,146.68
Emissions intensities,"Meat of sheep, fresh or chilled",1981,148700.6577,148.7
Emissions intensities,"Meat of sheep, fresh or chilled",1982,152916.5822,152.92
Emissions intensities,"Meat of sheep, fresh or chilled",1983,150749.9864,150.75
Emissions intensities,"Meat of sheep, fresh or chilled",1984,150245.3054,150.25
Emissions intensities,"Meat of sheep, fresh or chilled",1985,152436.5638,152.44
Emissions intensities,"Meat of sheep, fresh or chilled",1986,154772.2314,154.77
Emissions intensities,"Meat of sheep, fresh or chilled",1987,156036.838,156.04
Emissions intensities,"Meat of sheep, fresh or chilled",1988,160923.3552,160.92
Emissions intensities,"Meat of sheep, fresh or chilled",1989,165729.1687,165.73
Emissions intensities,"Meat of sheep, fresh or chilled",1990,167692.3542,167.69
Emissions intensities,"Meat of sheep, fresh or chilled",1991,163261.6327,163.26
Emissions intensities,"Meat of sheep, fresh or chilled",1992,156684.31,156.68
Emissions intensities,"Meat of sheep, fresh or chilled",1993,149592.9668,149.59
Emissions intensities,"Meat of sheep, fresh or chilled",1994,147476.2623,147.48
Emissions intensities,"Meat of sheep, fresh or chilled",1995,142808.4869,142.81
Emissions intensities,"Meat of sheep, fresh or chilled",1996,141321.7328,141.32
Emissions intensities,"Meat of sheep, fresh or chilled",1997,139184.2204,139.18
Emissions intensities,"Meat of sheep, fresh or chilled",1998,139818.2871,139.82
Emissions intensities,"Meat of sheep, fresh or chilled",1999,140665.2454,140.67
Emissions intensities,"Meat of sheep, fresh or chilled",2000,140699.7103,140.7
Emissions intensities,"Meat of sheep, fresh or chilled",2001,134542.0831,134.54
Emissions intensities,"Meat of sheep, fresh or chilled",2002,132239.0819,132.24
Emissions intensities,"Meat of sheep, fresh or chilled",2003,131200.3623,131.2
Emissions intensities,"Meat of sheep, fresh or chilled",2004,134899.5705,134.9
Emissions intensities,"Meat of sheep, fresh or chilled",2005,137808.1022,137.81
Emissions intensities,"Meat of sheep, fresh or chilled",2006,134165.1203,134.17
Emissions intensities,"Meat of sheep, fresh or chilled",2007,131344.8366,131.34
Emissions intensities,"Meat of sheep, fresh or chilled",2008,125159.1753,125.16
Emissions intensities,"Meat of sheep, fresh or chilled",2009,121104.0066,121.1
Emissions intensities,"Meat of sheep, fresh or chilled",2010,118458.3684,118.46
Emissions intensities,"Meat of sheep, fresh or chilled",2011,121317.6369,121.32
Emissions intensities,"Meat of sheep, fresh or chilled",2012,121622.6619,121.62
Emissions intensities,"Meat of sheep, fresh or chilled",2013,123908.8506,123.91
Emissions intensities,"Meat of sheep, fresh or chilled",2014,122337.3362,122.34
Emissions intensities,"Meat of sheep, fresh or chilled",2015,125888.4164,125.89
Emissions intensities,"Meat of sheep, fresh or chilled",2016,125692.603,125.69
Emissions intensities,"Meat of sheep, fresh or chilled",2017,127593.9678,127.59
Emissions intensities,"Meat of sheep, fresh or chilled",2018,126618.0394,126.62
Emissions intensities,"Meat of sheep, fresh or chilled",2019,126095.413,126.1
Emissions intensities,"Meat of sheep, fresh or chilled",2020,125457.7678,125.46
